time,Date,S,E,I,R
288,2020-11-05,7889915901.326189,455869.6738112329,1579728.0,8048501.0
289,2020-11-06,7890068338.079173,234501.92082701952,1582353.0,8114807.0
290,2020-11-07,7889960826.625071,282490.3749290014,1594243.0,8162440.0
291,2020-11-08,7889909656.853851,288574.1461485361,1606993.0,8194776.0
292,2020-11-09,7889883221.809523,267259.19047704426,1615249.0,8234270.0
293,2020-11-10,7889605655.993435,455517.00656504295,1659907.0,8278920.0
294,2020-11-11,7889673991.758036,314604.24196390447,1675934.0,8335470.0
295,2020-11-12,7889429770.882403,476831.1175964317,1723087.0,8370311.0
296,2020-11-13,7889378529.842954,441625.1570463335,1762107.0,8417738.0
297,2020-11-14,7889326707.688173,426000.31182623265,1797025.0,8450267.0
298,2020-11-15,7889346405.521157,358767.4788428933,1817912.0,8476915.0
299,2020-11-16,7889565048.335186,88683.66481440964,1785684.0,8560584.0
300,2020-11-17,7889203993.555848,372523.44415187894,1809556.0,8613927.0
301,2020-11-18,7889106186.927132,390296.07286852115,1836236.0,8667281.0
302,2020-11-19,7889054281.077232,359832.92276762874,1856263.0,8729623.0
303,2020-11-20,7888935895.150833,394820.8491668719,1882552.0,8786732.0
304,2020-11-21,7888833477.389191,428618.61080897565,1914701.0,8823203.0
305,2020-11-22,7888946904.676617,266136.3233837049,1914363.0,8872596.0
306,2020-11-23,7888903209.190223,260018.80977723637,1912844.0,8923928.0
307,2020-11-24,7888760790.413565,329657.5864353543,1924915.0,8984637.0
308,2020-11-25,7888569652.057178,433758.9428228237,1956911.0,9039678.0
309,2020-11-26,7888501641.657121,417773.34287892305,1984926.0,9095659.0
310,2020-11-27,7888470543.443477,374035.55652345164,2003669.0,9151752.0
311,2020-11-28,7888174584.283338,581107.7166620536,2062189.0,9182119.0
312,2020-11-29,7888274863.937848,426879.06215233565,2089110.0,9209147.0
313,2020-11-30,7888282343.668258,362161.3317422975,2102707.0,9252788.0
314,2020-12-01,7888539967.326906,14642.673093325138,2048322.0,9397068.0
315,2020-12-02,7888123844.781248,342798.2187514985,2059262.0,9474095.0
316,2020-12-03,7887930274.861987,443868.13801261375,2089568.0,9536289.0
317,2020-12-04,7887877105.682374,408623.3176260063,2112192.0,9602079.0
318,2020-12-05,7887869028.897798,341125.10220205266,2121068.0,9668778.0
319,2020-12-06,7887709588.191662,444681.8083385742,2149850.0,9695880.0
320,2020-12-07,7887799858.674176,296639.32582402474,2149046.0,9754456.0
321,2020-12-08,7887799126.933049,216334.06695126492,2132640.0,9851899.0
322,2020-12-09,7887312740.186863,610561.8131375035,2193380.0,9883318.0
323,2020-12-10,7887617983.547249,213017.4527511297,2175122.0,9993877.0
324,2020-12-11,7887334101.457492,408318.54250787525,2195358.0,10062222.0
325,2020-12-12,7887118891.217335,547125.782665624,2242049.0,10091934.0
326,2020-12-13,7887464892.220234,146361.77976624554,2209498.0,10179248.0
327,2020-12-14,7887161811.345321,389386.6546788318,2225115.0,10223687.0
328,2020-12-15,7887122404.359757,345137.64024261193,2231698.0,10300760.0
329,2020-12-16,7886827641.332884,536918.6671158028,2275414.0,10360026.0
330,2020-12-17,7886862863.840532,395545.15946785227,2290435.0,10451156.0
331,2020-12-18,7886640141.825016,529742.1749839836,2331156.0,10498960.0
332,2020-12-19,7886822594.929668,266653.07033114636,2319583.0,10591169.0
333,2020-12-20,7886684182.913173,354571.0868268812,2325430.0,10635816.0
334,2020-12-21,7886835240.761252,146570.2387472405,2290650.0,10727539.0
335,2020-12-22,7886435118.302752,458147.6972481391,2317436.0,10789298.0
336,2020-12-23,7886272887.402885,539687.5971143445,2359357.0,10828068.0
337,2020-12-24,7886074834.984534,652298.015465828,2422046.0,10850821.0
338,2020-12-25,7886163990.214495,510047.785505753,2455353.0,10870609.0
339,2020-12-26,7886633945.0,0.0,2316110.0,11049945.0
340,2020-12-27,7886304570.455273,288849.54472776124,2309265.0,11097315.0
341,2020-12-28,7886262372.305291,278809.6947087312,2300653.0,11158165.0
342,2020-12-29,7886002303.747156,445700.2528437141,2324745.0,11227251.0
343,2020-12-30,7885990181.409344,362689.5906559125,2332031.0,11315098.0
344,2020-12-31,7885751666.672095,510936.32790437405,2367961.0,11369436.0
345,2021-01-01,7885749416.42734,464363.5726608426,2393852.0,11392368.0
346,2021-01-02,7886030561.436936,144490.56306318735,2356805.0,11468143.0
347,2021-01-03,7885730038.239008,400234.7609917817,2370523.0,11499204.0
348,2021-01-04,7885797296.65782,277182.34218062955,2359927.0,11565594.0
349,2021-01-05,7885529692.707646,449084.2923536786,2383064.0,11638159.0
350,2021-01-06,7885340092.856288,536523.143712486,2422583.0,11700801.0
351,2021-01-07,7885151998.132675,594730.8673245492,2472351.0,11780920.0
352,2021-01-08,7885224752.519075,420897.4809250725,2486944.0,11867406.0
353,2021-01-09,7885255547.389769,303703.6102314178,2478339.0,11962410.0
354,2021-01-10,7885105492.222632,395413.7773680009,2487811.0,12011283.0
355,2021-01-11,7885111700.826096,327972.1739048854,2483904.0,12076423.0
356,2021-01-12,7884676196.407904,662264.5920964045,2545142.0,12116397.0
357,2021-01-13,7884846454.970138,394593.02986261586,2552636.0,12206316.0
358,2021-01-14,7884653734.519574,478157.48042556527,2576184.0,12291924.0
359,2021-01-15,7884509921.185421,516459.81457880884,2606543.0,12367076.0
360,2021-01-16,7884502731.440315,433724.5596851359,2619979.0,12443565.0
361,2021-01-17,7884460404.709365,418226.2906351297,2630034.0,12491335.0
362,2021-01-18,7884600745.364514,219428.63548535117,2601138.0,12578688.0
363,2021-01-19,7884343289.120138,382874.8798618283,2604828.0,12669008.0
364,2021-01-20,7883903580.692749,722424.3072509903,2674479.0,12699516.0
365,2021-01-21,7884108288.924648,422803.07535132277,2683941.0,12784967.0
366,2021-01-22,7884115879.131115,324638.86888496374,2674047.0,12885435.0
367,2021-01-23,7883806912.216352,545051.7836472607,2707305.0,12940731.0
368,2021-01-24,7884011436.91779,289240.08220956376,2689888.0,13009435.0
369,2021-01-25,7883927500.532471,315242.4675293323,2678004.0,13079253.0
370,2021-01-26,7883589465.853047,562423.1469528307,2714534.0,13133577.0
371,2021-01-27,7883652773.345339,401761.65466084407,2718812.0,13226653.0
372,2021-01-28,7883323149.18818,638651.8118201869,2769062.0,13269137.0
373,2021-01-29,7883592108.979634,278148.02036587865,2747806.0,13381937.0
374,2021-01-30,7883545339.68903,245198.31097021137,2720718.0,13488744.0
375,2021-01-31,7883365087.908993,375303.0910073975,2719680.0,13539929.0
376,2021-02-01,7883288340.308329,398590.6916712392,2723201.0,13589868.0
377,2021-02-02,7883198583.969437,404511.03056314593,2727778.0,13669127.0
378,2021-02-03,7883108093.356796,411884.6432038833,2733665.0,13746357.0
379,2021-02-04,7883015700.145831,418130.85416906053,2740607.0,13825562.0
380,2021-02-05,7882837733.891437,515984.10856302304,2766398.0,13879884.0
381,2021-02-06,7882815758.208815,466887.79118560435,2781935.0,13935419.0
382,2021-02-07,7882913293.61131,324270.3886902018,2769302.0,13993134.0
383,2021-02-08,7882710810.563222,476602.43677776953,2786650.0,14025937.0
384,2021-02-09,7882949762.966437,162838.0335624259,2742481.0,14144918.0
385,2021-02-10,7882502850.946922,522373.0530774617,2769464.0,14205312.0
386,2021-02-11,7882377165.552285,568007.4477149987,2804591.0,14250236.0
387,2021-02-12,7882487576.334042,381799.6659582472,2802534.0,14328090.0
388,2021-02-13,7882424111.752673,378145.2473270803,2799822.0,14397921.0
389,2021-02-14,7882327927.684411,425397.31558935874,2806377.0,14440298.0
390,2021-02-15,7882484749.672853,224542.32714622098,2773676.0,14517032.0
